skin_color;age;sex;complement;death_type;city;neighborhood;date;hour
NI;NA;Masculino;Homicídio;NI;Jequiá da Praia;Zona Rural;07/02/2016;20
Parda;15.0;Masculino;Homicídio;PAF;Maceió;Petrópolis;07/02/2016;21
Parda;37.0;Masculino;Homicídio;PAF;Traipu;Zona Rural;07/02/2016;22
Preta;17.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Alto do Cruzeiro;08/02/2016;02
Parda;50.0;Masculino;Homicídio;NI;Arapiraca;Centro;08/02/2016;10
Preta;29.0;Masculino;Homicídio;ESPANCAMENTO;Rio Largo;Centro;08/02/2016;12
Parda;43.0;Masculino;Homicídio;PAF;Matriz de Camaragibe;Centro;08/02/2016;13
Parda;22.0;Masculino;Homicídio;NI;Arapiraca;Centro;08/02/2016;14
Parda;37.0;Masculino;Homicídio;PAF;São José da Tapera;Centro;08/02/2016;16
Branca;25.0;Masculino;Homicídio;PAF;Santana do Ipanema;Zona Rural;08/02/2016;19
Parda;22.0;Masculino;Homicídio;BRANCA;Atalaia;Zona Rural;08/02/2016;22
Parda;53.0;Feminino;Feminicídio;ESPANCAMENTO;Penedo;Centro;09/02/2016;00
Preta;36.0;Masculino;Homicídio;PAF;São Miguel dos Milagres;Zona Rural;09/02/2016;00
Branca;29.0;Masculino;Homicídio;PAF;Campo Alegre;Centro;09/02/2016;01
Preta;18.0;Masculino;Homicídio;PAF;São Miguel dos Campos;Centro;09/02/2016;10
Parda;21.0;Masculino;Homicídio;PAF;Maceió;Cidade Universitária;09/02/2016;14
Parda;20.0;Masculino;Homicídio;PAF;Rio Largo;Mata do Rolo;09/02/2016;21
Preta;50.0;Masculino;Homicídio;PAF;Maceió;Chã de Bebedouro;10/02/2016;17
Preta;22.0;Masculino;Homicídio;PAF;Maravilha;Zona Rural;11/02/2016;23
Parda;53.0;Masculino;Homicídio;PAF;Santana do Mundaú;Zona Rural;12/02/2016;13
Preta;53.0;Masculino;Homicídio;PAF;Palmeira dos Índios;Zona Rural;12/02/2016;17
Parda;39.0;Masculino;Homicídio;PAF;Arapiraca;Verdes Campos;12/02/2016;20
Parda;18.0;Masculino;Homicídio;ESPANCAMENTO;Barra de São Miguel;Zona Rural;13/02/2016;16
Parda;21.0;Masculino;Homicídio;PAF/B;Barra de Santo Antônio;Zona Rural;13/02/2016;16
